ID,Name,Uses Slot,Prerequisite ID,Platform,Type,Fleet Manual,Creator,3D Artist,2D Artist,Date released,Date updated,Number of craft,Custom cockpit,# Reviews,# Bugs,# Usages
25,Delta-7 Aethersprite,11,8,X-Wing vs. TIE Fighter,Fighter,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/17/2009,2/20/2009,1,No,0,0,1
26,Derilyn Platform,54,8,X-Wing vs. TIE Fighter,Platform,Fleet Manual #76,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/17/2009,10/27/2013,1,No,0,0,1
27,Doomsday Corvette,31,8,X-Wing vs. TIE Fighter,Capship,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/17/2009,2/20/2009,1,No,0,0,1
28,Dreadnaught Mk.I,31,8,X-Wing vs. TIE Fighter,Capship,Fleet Manual #114,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/17/2009,10/31/2013,1,No,0,0,1
29,Dunari's Rest (Casino),54,8,X-Wing vs. TIE Fighter,Platform,Fleet Manual #77,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/17/2009,10/27/2013,1,No,0,0,1
30,Dungeon Ship,39,8,X-Wing vs. TIE Fighter,Capship,Fleet Manual #147,COL Kermee,LT JMRabid,LT JMRabid,2/17/2009,2/20/2009,1,No,0,0,2
31,Enforcer Picket Ship,39,8,X-Wing vs. TIE Fighter,Capship,Fleet Manual #115,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/17/2009,10/28/2013,1,No,0,0,2
32,Escape Pod,39,8,X-Wing vs. TIE Fighter,Utility,Fleet Manual #21,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/17/2009,10/27/2013,1,No,0,0,0
33,Escape Pod Deluxe,39,8,X-Wing vs. TIE Fighter,Utility,Fleet Manual #20,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/17/2009,10/27/2013,1,No,0,0,1
34,E-Wing,10,8,X-Wing vs. TIE Fighter,Fighter,Fleet Manual #140,COL Kermee,unknown,unknown,2/16/2009,11/8/2013,1,No,0,0,5
35,Azzameen Family Repair Yard,54,8,X-Wing vs. TIE Fighter,Platform,Fleet Manual #79,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/17/2009,10/28/2013,1,No,0,0,1
36,Ferryboat Liner,39,8,X-Wing vs. TIE Fighter,Transport,Fleet Manual #34,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/17/2009,10/28/2013,1,No,0,0,1
37,Firespray Attack Ship,10,8,X-Wing vs. TIE Fighter,Fighter,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/17/2009,11/8/2013,1,No,0,0,3
38,Freighter Type C,31,8,X-Wing vs. TIE Fighter,Freighter,Fleet Manual #60,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/17/2009,10/31/2013,1,No,0,0,1
39,Freighter Type H,31,8,X-Wing vs. TIE Fighter,Freighter,Fleet Manual #61,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/17/2009,10/31/2013,1,No,0,0,1
40,Freighter Type K,31,8,X-Wing vs. TIE Fighter,Freighter,Fleet Manual #62,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/17/2009,10/31/2013,1,No,0,0,1
41,Golan I Space Station,54,8,X-Wing vs. TIE Fighter,Platform,Fleet Manual #80,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/17/2009,10/31/2013,1,No,0,0,0
42,Golan II Space Station,54,8,X-Wing vs. TIE Fighter,Platform,Fleet Manual #81,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/17/2009,10/31/2013,1,No,0,0,1
43,Golan III Space Station,54,8,X-Wing vs. TIE Fighter,Platform,Fleet Manual #82,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/17/2009,10/31/2013,1,No,0,0,1
44,Hyperion Interceptor Gunboat,11,8,X-Wing vs. TIE Fighter,Fighter,Fleet Manual #107,COL Den Darkhill,COL Den Darkhill,HA Ender mBind,2/17/2009,10/31/2012,1,No,0,0,1
45,I-7 Howlrunner,10,8,X-Wing vs. TIE Fighter,Fighter,Fleet Manual #104,COL Den Darkhill,JM,JM,2/17/2009,10/31/2013,1,No,0,0,1
46,Imperial Landing Craft,39,8,X-Wing vs. TIE Fighter,Transport,Fleet Manual #26,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,3/29/2014,1,No,0,0,1
47,Imperial Research Center,54,8,X-Wing vs. TIE Fighter,Platform,Fleet Manual #83,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,10/31/2013,1,No,0,0,0
